context,question,answer
"주제: 유관순
유관순(柳寬順, 1902년 12월 16일 (음력 11월 17일)~1920년 9월 28일)은 일제강점기의 독립운동가이다. 본관은 고흥(高興)이며 일제강점기에 3.1운동으로 시작된 만세 운동을 하다 일본 형사들에게 붙잡혀 서대문형무소에서 이뤄진 모진 고문으로 인해 순국했다.",유관순은 어떤 사건으로 인해 순국하게 되었나요?  ,"그것도 몰라? ""일제강점기에 3.1운동으로 시작된 만세 운동을 하다 일본 형사들에게 붙잡혀 서대문형무소에서 이뤄진 모진 고문으로 인해 순국했다."" 근거를 보면 알 수 있잖아. 3.1운동에 참여하다가 고문을 당해서 순국한 거야."
"주제: 유관순
1916년 충청남도 공주시에서 선교활동을 하던 미국인 감리교회 선교사인 사애리시 부인(사부인)의 추천으로 이화학당 보통과 3학년에 장학생으로 편입하고, 1919년에 이화학당 고등부에 진학했다. 3월 1일 3.1 운동에 참여하고 3월 5일의 만세 시위에도 참여하였다. 총독부의 휴교령으로 천안으로 내려와 후속 만세 시위에 주도적으로 참여했다가 일제에 체포되어 공주지방법원에서 징역 5년형을 선고받고 항소하였고, 경성복심법원에서 징역 3년을 선고받아 사형이 확정되었다. 일제의 교도소에서 1920년 9월 28일에 순국했다.",유관순이 3.1 운동에 참여한 이후 어떤 일들이 있었나요?,"그것도 몰라? ""3월 1일 3.1 운동에 참여하고 3월 5일의 만세 시위에도 참여하였다."" 근거를 보면 알 수 있잖아. 그 후 총독부의 휴교령으로 천안으로 내려가서 후속 만세 시위에 주도적으로 참여했어. 결국 일제에 체포되고 징역형을 선고받았지."
"주제: 유관순
1962년에 대한민국 건국훈장 독립장이 추서되었으며, 1996년에 이화여자고등학교는 명예 졸업장을 추서했다. 충청남도 천안시 동남구 병천면 용두리의 생가가 복원되어 1991년에 사적 제230호로 지정되었다. 천안 유관순 열사 유적과 천안종합운동장 내 '유관순체육관'은 유관순의 이름을 딴 것이다. 해방 후 박인덕 등에 의해 기념사업이 추진되었는데, 이 때문에 박인덕 등이 자신들의 친일 의혹을 덮기 위한 불순한 의도로 이화학당 학생이었던 유관순 열사를 부각시켰다는 의혹도 제기되고 있다.","유관순의 생가는 언제 복원되었고, 어떤 사적 번호로 지정되었나요?  ","그것도 몰라? ""충청남도 천안시 동남구 병천면 용두리의 생가가 복원되어 1991년에 사적 제230호로 지정되었다."" 근거를 보면 알 수 있잖아. 생가는 1991년에 복원된 거고, 사적 제230호로 지정된 거야."
"주제: 유관순
== 성명 ==
본관은 고흥 유씨이다. 두음법칙과 관련하여 성명 표기에 대해 과거에 논란이 있었다. 2007년 4월에 일부 성씨의 사람들이 호적상 이름을 변경해 달라며 낸 신청을 받아들이는 지방법원의 결정이 있었고, 표기 문제에 대해 여러 국가기관에서 논의가 이루어졌다. 논의의 결과 2007년 8월에 대법원의 호적예규가 개정되었고 이에 따라 류씨의 성을 가진 사람은 본인 의사에 따라 한글로 '류'로 쓸 수 있게 되었다. 2007년 10월 현재는 개정된 호적예규가 문제시될 것이 없다고 확인을 했다.",유관순의 성명에 대한 논란은 어떤 내용이었나요?,"그것도 몰라? ""본관은 고흥 유씨이다. 두음법칙과 관련하여 성명 표기에 대해 과거에 논란이 있었다."" 근거를 보면 알 수 있잖아. 유관순의 성명은 두음법칙 때문에 문제가 있었던 거야."
"주제: 유관순
국가보훈처에 등록된 비영리 사단법인 유관순열사기념사업회는 처음에 ‘유’ 표기를 쓰고 있었고 2001년에 ‘류’로 바꾸었다. 그러나 두음 법칙에 따라 교과서나 공식 행사에서 오랜 기간 '유관순'으로 표기해왔고 '류'로 고쳐서 생긴 사회적 혼선을 무시할 수 없다는 이유 때문에 2014년부터 유관순으로 표기하고 있다.",유관순의 이름 표기에 대한 변화는 어떤 이유로 발생했나요?  ,"그것도 몰라? ""국가보훈처에 등록된 비영리 사단법인 유관순열사기념사업회는 처음에 ‘유’ 표기를 쓰고 있었고 2001년에 ‘류’로 바꾸었다."" 근거를 보면 알 수 있잖아. 결국, 두음 법칙 때문에 사회적 혼선이 생겼고 그래서 2014년부터 다시 '유관순'으로 표기하게 된 거야."
"주제: 유관순
== 업적 ==


=== 초기 활동 ===

충청남도 목천군 이동면 지령리(현 천안시 병천면 용두리)에서 아버지 유중권과 어머니 이소제의 3남1녀 중 둘째로 태어났다.(이복언니가 있음) 본관은 고흥(高興)이다. 1905년 집을 근처 탑원리로 이사했다가 1907년 무렵 다시 가족을 따라 지령리(현 용두리)로 돌아왔다. 이후 공주영명여학교에서 2년간 교육을 받았다.


=== 이화학당 재학과 만세 운동 ===",유관순이 어떤 학교에서 교육을 받았는지 알고 있니?,"그것도 몰라? ""이후 공주영명여학교에서 2년간 교육을 받았다."" 근거를 보면 알 수 있잖아. 유관순은 공주영명여학교에서 교육을 받았던 거야."
"주제: 유관순
1916년에 개신교 감리교회 충청남도 공주교구의 미국인 여자 선교사 사애리시 부인(엘리스 샤프, Alice Sharp, 사부인)의 추천으로 이화학당(梨花學堂) 보통과 3학년에 교비생으로 편입학하고, 1919년 이화학당 고등부로 진학하였다. 교비생은 학비를 면제 받고, 졸업 후에 교사로 일하는 학생이었다. 파랑새어린이에서 출판한 유관순 전기에 따르면, 이화학당 학생들은 기숙사 생활을 했고, 김장, 빨래 등은 여럿이 함께 해야 하는 일이므로 학생들이 함께 일을 함을 뜻하는 공동노동을 했다고 한다. 밥과 몇 가지 반찬으로 밥을 먹었다.",유관순이 이화학당에서 어떤 생활을 했는지 알려줄 수 있어?,"그것도 몰라? ""이화학당 학생들은 기숙사 생활을 했고, 김장, 빨래 등은 여럿이 함께 해야 하는 일이므로 학생들이 함께 일을 함을 뜻하는 공동노동을 했다고 한다."" 근거를 보면 알 수 있잖아. 기숙사에서 공동으로 여러 일을 하면서 생활한 거야."
"주제: 유관순
했다고 한다. 밥과 몇 가지 반찬으로 밥을 먹었다. 주일에는 감리교회인 정동제일교회에서 신앙생활을 했는데 -지금도 성공회 서울대성당과 덕수궁 돌담길을 지나, 오른쪽으로 나오면 정동제일교회가 있다.- 손정도 목사 등 민족의식을 가진 성직자들의 영향을 받았다. 유관순의 부친인 유중권 선생 등 민족의식을 가진 지식인들은 예수교라고도 불린 개신교에서 신앙생활을 함으로써 일본제국주의에 저항하고, 민족의 의식을 일깨우고자 하는 선각자들이었다.",유관순이 신앙생활을 한 교회는 어디인가요?  ,"그것도 몰라? ""주일에는 감리교회인 정동제일교회에서 신앙생활을 했는데"" 근거를 보면 알 수 있잖아. 유관순은 정동제일교회에서 신앙생활을 했어."
"주제: 유관순
1919년 3·1 운동이 일어나자, 이화학당 고등과 1년생이었던 유관순은 만세시위에 참가하였고, 연이어 3월 5일의 서울 만세시위에도 참가하였다. 그 뒤로부터는 총독부 학무국에서 임시휴교령을 내려 이화학당이 폐교하자 3월 8일 열차편으로 천안으로 돌아왔다.",유관순이 3·1 운동에 참여한 후 어떤 일이 있었나요?  ,"그것도 몰라? ""그 뒤로부터는 총독부 학무국에서 임시휴교령을 내려 이화학당이 폐교하자 3월 8일 열차편으로 천안으로 돌아왔다."" 근거를 보면 알 수 있잖아. 그래서 이화학당이 폐교되고 천안으로 돌아간 거야."
"주제: 유관순
==== 만세 운동 ====
고향으로 돌아온 유관순은 교회와 청신학교(靑新學校)를 찾아다니며, 서울에서의 독립 시위운동 상황을 설명하고 천안에서도 만세시위를 전개할 것을 권유하였다. 이러한 노력으로 조인원(趙仁元)· 김구응(金球應, 성공회 병천교회에서 운영하던 진명학교 교사) 등이 연기·청주·진천 등지의 개신교 교회와 유림계를 규합하여 4월 1일(음력 3월 1일) 아우내(並川) 장날을 기하여 만세시위를 전개할 것을 계획하고, 군중을 모았으며, 당일 모인 수천명의 군중들이 독립만세를 외치며 맹렬한 독립만세시위를 전개하였다.",유관순이 만세 시위를 전개하기 위해 어떤 노력을 했는가요?  ,"그것도 몰라? ""고향으로 돌아온 유관순은 교회와 청신학교를 찾아다니며, 서울에서의 독립 시위운동 상황을 설명하고 천안에서도 만세시위를 전개할 것을 권유하였다."" 근거를 보면 알 수 있잖아. 유관순은 교회와 학교를 돌며 사람들을 독립 만세 시위에 참여하도록 독려했어."
"주제: 유관순
1919년 3월 당시 천안군 목천면에서는 이종성(李鍾成) 등의 주동으로 3.1 만세 운동에 호응하는 만세 시위운동을 계획했으나 사전에 구금당해 실행하지 못했다. 유관순은 부친 유중권의 주선으로 3월 9일 밤 교회 예배가 끝난 뒤 마을 속장 조인원(趙仁元), 지역 유지 이백하(李伯夏) 등 20여 명이 모인 자리에서 사촌언니 유예도와 함께 경성의 상황을 설명하였다. 이어 4월 1일(음력 3월 1일) 아우내 장날을 기해 만세 시위를 전개하기로 하고, 안성·목천·연기·청주·진천 등의 마을 유지와 유림계를 규합하기 위한 연락원의 한 사람이",유관순이 만세 시위를 계획한 이유는 무엇인가요?,"그것도 몰라? ""유관순은 부친 유중권의 주선으로 3월 9일 밤 교회 예배가 끝난 뒤 마을 속장 조인원, 지역 유지 이백하 등 20여 명이 모인 자리에서 사촌언니 유예도와 함께 경성의 상황을 설명하였다."" 근거를 보면 알 수 있잖아. 경성의 상황을 알리고, 만세 시위를 통해 독립을 외치려 했던 거야."
"주제: 유관순
4월 1일 수천 명의 군중이 모인 가운데 조인원의 선도로 시위가 시작되자 유관순은 시위대 선두에서 독립만세시위를 벌였다. 아우내 만세시위 주동자로 일제 헌병에 붙잡힌 유관순은 미성년자인 점을 감안하여 범죄를 인정하고 수사에 협조하면 선처하겠다는 제안을 거절하였고, 이후 협력자와 시위 가담자를 발설하지 않았다.",유관순이 시위 중 헌병에 붙잡힌 이유는 무엇인가요?  ,"그것도 몰라? ""아우내 만세시위 주동자로 일제 헌병에 붙잡힌 유관순은 미성년자인 점을 감안하여 범죄를 인정하고 수사에 협조하면 선처하겠다는 제안을 거절하였다."" 근거를 보면 알 수 있잖아. 유관순은 시위의 주동자로서 체포된 거야."
"주제: 불국사
불국사(佛國寺)는 대한민국 경상북도 경주시 진현동에 있는 대한불교 조계종 소속 호국사찰이다. 1995년 유네스코 세계문화유산으로 석굴암과 함께 지정되었다.
불국사는 대한불교조계종 제11교구 본사이다. 대표적인 소속 말사는 분황사, 기림사, 골굴사, 불영사 등이 있고, 대표적인 암자로는 석굴암 등이 있다.
2023년 5월 4일부터 무료 입장이 가능해졌다. 따라서 주차비만 받는다.",불국사는 언제부터 무료 입장이 가능해졌나요?  ,"그것도 몰라? ""2023년 5월 4일부터 무료 입장이 가능해졌다."" 근거를 보면 알 수 있잖아. 그러니까 그때부터 돈 안 내고 들어갈 수 있어."
"주제: 불국사
== 개요 ==
신라인들은 경주 토함산을 호국의 산으로 신성시 했기에, 안개를 토하듯 뱉어내는 토함산에 최고의 사찰을 짓고 싶어 했다. 그 결과물이 바로 불국사와 석굴암이다.
흔히 재상 김대성이 창건하였다고 알려져 있지만, 사실은 신라 법흥왕의 어머니인 영제부인이 528년에 창건하였고, 삼국통일 후에 재상 김대성이 크게 중창하여 오늘날의 모습을 갖추었다.
지금은 토함산을 둘러서 석굴암으로 바로 가는 도로가 있지만, 아주 옛날에는 경주 시민들이 소풍을 가면 불국사 등산로로 석굴암을 갔었다.","불국사는 누구에 의해 창건되었고, 후에 누가 중창하였나요?  ","그것도 몰라? ""불국사는 신라 법흥왕의 어머니인 영제부인이 528년에 창건하였고, 삼국통일 후에 재상 김대성이 크게 중창하여 오늘날의 모습을 갖추었다."" 근거를 보면 알 수 있잖아. 영제부인이 처음 만들고 김대성이 손봤다는 거야."
"주제: 불국사
== 역사 ==
《불국사고금창기》를 주로 따르기로 한다.


=== 삼국시대 ===
528년(신라 법흥왕 15년) : 법흥왕의 어머니인 영제 부인이 창건하였다.
574년(신라 진흥왕 35년) : 진흥왕의 어머니인 지소부인이 중건하였다. 이때, 비로자나불과 아미타불을 주조해 봉안하였다.
670년(통일신라 문무왕 10년) : 무설전을 지어, 화엄경을 가르쳤다.",불국사의 창건과 중건은 어떤 인물에 의해 이루어졌나요?,"그것도 몰라? ""528년(신라 법흥왕 15년) : 법흥왕의 어머니인 영제 부인이 창건하였다."" 그리고 ""574년(신라 진흥왕 35년) : 진흥왕의 어머니인 지소부인이 중건하였다."" 근거를 보면 알 수 있잖아. 영제 부인과 지소부인이 각각 창건과 중건을 했어."
"주제: 불국사
=== 남북국시대 ===
751년(통일신라 경덕왕 10년) : 당시 재상이었던 김대성에 의해 대규모로 중창하기 시작했다. 석가탑과 다보탑, 석교(경주 불국사 청운교·백운교) 등을 축조하여, 오늘날 불국사의 모습을 갖추기 시작했다. 불국사의 대규모 중창은 김대성이 현생의 부모를 위한 것이었다. 여기에 김대성은 전생의 부모를 위해 석불사를 창건하기 시작했다. 지금은 석불사가 암자인 석굴암이 되었다.","불국사의 대규모 중창은 누구에 의해 시작되었고, 그 이유는 무엇인가요?","그것도 몰라? ""불국사의 대규모 중창은 김대성에 의해 시작되었고, 김대성이 현생의 부모를 위한 것이었다."" 근거를 보면 알 수 있잖아. 김대성이 부모님 생각하면서 불국사를 중창한 거야."
"주제: 불국사
=== 조선시대 ===
임진왜란 직전 : 《동경유록》, 《간재집》 등에 1,000여칸이 남아있다고 기록되어 있다.
1593년 5월(선조 23년) : 왜군 제2군 사령관인 가토 기요마사가 방화와 파괴를 자행했다. 불국사 대가람이 전소된다.
1604년(선조 37년) : 임진왜란 피해로부터 복구와 중건을 시작하였다.
1765년(영조 41년) : 대웅전이 재건되었다.
1779년(정조 3년) : 경주 유림의 지원으로 불국사를 중창하였다.",불국사가 임진왜란 이후 복구된 연대는 언제인가요?  ,"그것도 몰라? ""1604년(선조 37년) : 임진왜란 피해로부터 복구와 중건을 시작하였다."" 근거를 보면 알 수 있잖아. 1604년에 복구 작업이 시작된 거야."
"주제: 불국사
1805년(순조 5년) : 이전부터 이루어진 40여 차례의 부분적인 중수(重修)를 비로전을 끝으로 마무리지었다.
이후 조선의 국운이 쇠퇴하면서, 불국사의 사운도 쇠퇴하기 시작했다. 많은 건물이 파손되고, 보물이 도난을 당하였다.",불국사의 중수가 마지막으로 이루어진 해는 언제인가요?  ,"그것도 몰라? ""1805년(순조 5년) : 이전부터 이루어진 40여 차례의 부분적인 중수(重修)를 비로전을 끝으로 마무리지었다."" 근거를 보면 알 수 있잖아. 그러니까 불국사의 중수는 1805년에 마지막으로 이루어진 거야."
"주제: 불국사
=== 일제강점기 ===
1918년 ~ 1925년 : 다보탑과 대웅전이 보수되었다. 그러나 경주 불국사 사리탑과 다보탑 석물(사자) 일부가 일본으로 반출되어 버렸다.


=== 대한민국 ===
1969년 ~ 1973년 : 총 8억원을 들여, 회랑과 난간 등을 복원하였다.",불국사의 역사적 복원 과정에서 어떤 주요 사건이 있었나요?  ,"그것도 몰라? ""1969년 ~ 1973년 : 총 8억원을 들여, 회랑과 난간 등을 복원하였다."" 근거를 보면 알 수 있잖아. 복원 과정에서 8억원을 들여서 회랑과 난간을 복원한 게 주요 사건이야."
"주제: 불국사
== 중창자 김대성에 대한 논란 ==
재상 김대성이 불국사를 중창하고 석굴암을 창건하였다는 내용은 삼국유사의 내용을 따르고 있다. 하지만 불국사와 석굴암의 규모를 보면, 한 나라의 국력을 쏟아부어야 할 정도이다. 이걸 왕이 아닌 재상이 건축했다고 보기에는 무리가 있다.
원래 불국사는 경덕왕이 아버지 성덕왕을 기리기 위해 중창하였고, 석굴암도 마찬가지로 이유로 창건하였다고 한다. 하지만 아들 혜공왕이 시해당하면서 통일신라의 왕위는 순수한 진골 혈통과 단절되어 버렸다.",불국사와 석굴암의 중창 및 창건에 대한 논란의 핵심은 무엇인가요?,"그것도 몰라? ""재상 김대성이 불국사를 중창하고 석굴암을 창건하였다는 내용은 삼국유사의 내용을 따르고 있다."" 근거를 보면 알 수 있잖아. 재상이 이런 대규모 건축을 했다는 게 말이 안 되는 거지. 원래는 경덕왕이 아버지를 기리기 위해 중창한 거니까."
"주제: 불국사
후에 왕위에 오른 원성왕은 성덕왕과 경덕왕의 사당까지 없애버린다. 자신과 혈통이 다른 왕들을 추모하는 절을 그대로 둘 수 없었기에, 창건자를 재상 김대성으로 만들어 소문을 내었다고 한다. 이것이 일연이 삼국유사를 저술하던 고려시대는 물론, 현재까지 이어져오고 있다는 설이다.",원성왕이 불국사의 창건자를 재상 김대성으로 소문 낸 이유는 무엇인가요?  ,"그것도 몰라? ""원성왕은 성덕왕과 경덕왕의 사당까지 없애버린다. 자신과 혈통이 다른 왕들을 추모하는 절을 그대로 둘 수 없었기에,"" 근거를 보면 알 수 있잖아. 다른 왕들과의 혈통을 지우고 싶었던 거야."
"주제: 불국사
== 주요 볼거리 ==


=== 대웅전 ===

불국사 대웅전을 마주보고 섰을 때, 가운데는 통일신라시대 석등이 있고, 좌측에는 석가탑, 우측에는 다보탑이 있다. 대웅전 내부에 주불은 석가모니불이고, 좌측에는 제화갈라보살, 우측에는 미륵보살이 있다. 가장 끝 양쪽에는 부처님의 제자인 아난존자와 마하가섭존자가 있다.",불국사 대웅전의 내부에는 어떤 불상이 있는가요?  ,"그것도 몰라? ""대웅전 내부에 주불은 석가모니불이고, 좌측에는 제화갈라보살, 우측에는 미륵보살이 있다."" 근거를 보면 알 수 있잖아. 대웅전에는 석가모니불과 두 보살이 있는 거야."
"주제: 불국사
=== 석가탑과 다보탑 ===
석가탑과 다보탑은 『묘법연화경(妙法蓮華經)』(일명, 법화경)의 「견보탑품(見寶塔品)」내용을 보여주는 탑이다. 『법화경』에서 ""이를 설법하는 석가모니를 찬양하기 위해 다보여래가 보탑의 형상으로 솟아나 공중에 머물며 찬양한 후, 탑내의 자리를 반으로 나누어 나란히 앉았다.""는 장면을 나타낸 것이다.",석가탑과 다보탑이 나타내는 내용은 무엇인가요?  ,"그것도 몰라? ""석가탑과 다보탑은 『묘법연화경(妙法蓮華經)』(일명, 법화경)의 「견보탑품(見寶塔品)」내용을 보여주는 탑이다."" 근거를 보면 알 수 있잖아. 이 탑들은 석가모니를 찬양하기 위해 다보여래가 보탑의 형상으로 나타난 장면을 나타내는 거야."
"주제: 불국사
또한 『법화경』의 「관세음보살보문품」에서 무진의보살이 관세음보살에게 영락을 보시하자, 관세음보살이 이를 반으로 나눈다. 그리고 반은 석가모니부처에게, 나머지 반은 다보부처님 탑에 공양을 하는 장면 또한 나타낸 것이다. 석가모니부처가 관세음보살보문품을 설하시기 전에 다보부처는 탑만 남기고 자리를 뜨셨기 때문에, 다보탑에 공양한 것이 맞다.",불국사와 관련된 법화경의 어떤 장면이 중요한 의미를 가지나요?  ,"그것도 몰라? ""무진의보살이 관세음보살에게 영락을 보시하자, 관세음보살이 이를 반으로 나눈다."" 근거를 보면 알 수 있잖아. 이 장면은 불국사에서 관세음보살의 역할과 석가모니부처, 다보부처와의 관계를 보여주는 중요한 의미가 있어."
"주제: 불국사
==== 석가탑 ====
석가탑은 석가모니여래를 상징한다. 『불국사 사적기』에는 석가탑이 석가여래상주설법탑(釋迦如來常住說法塔)으로 적혀있다.
또한 석가탑의 또 다른 이름은 무영탑으로 그림자가 없는 탑이라는 뜻이다. 아사달과 아사녀 그리고 영지(그림자 호수)에 얽힌 전설이 반영된 별명이다.


==== 다보탑 ====
다보탑은 다보여래를 상징한다. 『불국사 사적기』에는 다보탑이 다보여래상주증명탑(多寶如來常住證明塔)으로 적혀있다.",석가탑과 다보탑은 각각 어떤 의미를 가지고 있나요?  ,"그것도 몰라? ""석가탑은 석가모니여래를 상징하고, 다보탑은 다보여래를 상징한다."" 근거를 보면 알 수 있잖아. 석가탑은 석가모니를, 다보탑은 다보여래를 나타내는 거야."
"주제: 불국사
=== 연화교와 칠보교, 청운교와 백운교 그리고 범영루 ===

남북국 시대 신라의 건축물로 대한민국의 국보 제23호이다.
계단인데, 다리라는 교(橋)가 붙은 이유는 다음과 같다. 원래 불국사는 토함산에서 내려오는 물로 주위를 호수로 만",불국사의 주요 교량인 연화교와 칠보교의 역사적 의미는 무엇인가요?  ,"그것도 몰라? ""남북국 시대 신라의 건축물로 대한민국의 국보 제23호이다."" 근거를 보면 알 수 있잖아. 불국사는 신라의 역사와 문화가 담긴 중요한 유산이야. 연화교랑 칠보교는 그 자체로도 의미가 깊고, 불국사의 아름다움을 더해주는 역할을 해."
"주제: 창덕궁
창덕궁(昌德宮)은 대한민국 서울특별시의 북악산 왼쪽 봉우리인 응봉자락에 자리 잡고 있는 조선 시대 궁궐로 동쪽으로 창경궁과 맞닿아 있다. 경복궁의 동쪽에 있어서 조선 시대에는 창경궁과 더불어 동궐(東闕)이라 불렀다. 창덕궁은 비교적 원형이 잘 보존되어 있는 중요한 고궁이며, 특히 창덕궁 후원은 한국의 유일한 궁궐후원이라는 점과 한국의 정원을 대표한다는 점에서 그 가치가 높다. 1997년에 유네스코가 지정한 세계문화유산으로 등록되었다.",창덕궁이 세계문화유산으로 등록된 연도는 언제인가요?  ,"그것도 몰라? ""1997년에 유네스코가 지정한 세계문화유산으로 등록되었다."" 근거를 보면 알 수 있잖아. 그러니까 1997년이야."
"주제: 창덕궁
창덕궁은 고려 시대 궁궐의 전통을 이어받았고, 개성의 송악산의 만월대처럼 자연 지형에 맞추어 산자락에 지어졌다. 보통 궁궐은 인위적으로 존엄성과 권위를 드러내도록 건축되지만 창덕궁은 이러한 얽매임 없이 북악산의 줄기인 응봉의 산자락 생긴 모양에 맞추어 적절하게 궁궐의 기능을 배치하였다ㅠ.",창덕궁의 건축 방식은 다른 궁궐들과 어떤 차별점이 있나요?  ,"그것도 몰라? ""창덕궁은 고려 시대 궁궐의 전통을 이어받았고, 개성의 송악산의 만월대처럼 자연 지형에 맞추어 산자락에 지어졌다."" 근거를 보면 알 수 있잖아. 다른 궁궐들은 인위적으로 권위를 드러내려고 하는데, 창덕궁은 자연 지형을 잘 살려서 지었기 때문에 차별화된 거야."
"주제: 창덕궁
창덕궁은 정궁인 경복궁보다 오히려 더 많이 쓰인 궁궐이다. 임진왜란 때 경복궁이 화재에 의해 소실된 이후 다시 지어졌고, 1868년 경복궁이 다시 지어질 때까지 경복궁의 역할을 대체하여 임금이 거처하며 나라를 다스리는 정궁이 되었다. 일제강점기에 많은 부분이 손실 되었으나, 조선 후기에 그린 《동궐도》와 1900년에 그려진 《동궐도형》을 참조하여 복원이 진행되고 있다.",창덕궁이 정궁으로서의 역할을 언제부터 시작했나요?  ,"그것도 몰라? ""창덕궁은 임진왜란 때 경복궁이 화재에 의해 소실된 이후 다시 지어졌고, 1868년 경복궁이 다시 지어질 때까지 경복궁의 역할을 대체하여 임금이 거처하며 나라를 다스리는 정궁이 되었다."" 근거를 보면 알 수 있잖아. 그러니까 임진왜란 이후부터 정궁 역할을 했던 거야."
"주제: 창덕궁
창덕궁은 태종 5년(1405년) 경복궁에 이어 두 번째로 세워진 조선의 궁궐이다. 1392년 태조 이성계가 개경에 있던 고려 궁궐 수창궁에서 왕위에 올라 조선을 건국한 뒤, 재위 3년(1394년)에 수도를 한양으로 옮기고 이듬해에 조선의 법궁으로 경복궁을 세웠다. 그러나 건국 직후 왕위 계승권을 둘러싼 왕자와 공신 세력 사이의 갈등으로 왕자의 난이 두 차례나 일어나 경복궁의 지위는 흔들리게 되었다.",창덕궁이 세워진 연도는 언제인가요?  ,"그것도 몰라? ""창덕궁은 태종 5년(1405년) 경복궁에 이어 두 번째로 세워진 조선의 궁궐이다."" 근거를 보면 알 수 있잖아. 그러니까 창덕궁은 1405년에 세워진 거야."
"주제: 창덕궁
이방원이 옹립한 정종은 권력 투쟁이 벌어지는 와중에 재위 2년(1400년)에 한양의 지세가 좋지 않다며 도읍을 다시 개경으로 옮겼다. 그 뒤 정종에게서 양위받은 태종이 재위 5년(1405년)에 다시 한양으로 환도하면서, 정궁인 경복궁을 비워두고 경복궁 동쪽 향고동에 궁궐을 새로 지어 '창덕궁'이라 이름지었다. 1408년 태조는 이 궁에서 죽었다. 태종 11년(1411년)에 진선문과 금천교, 이듬해에 돈화문에 이어 여러 전각이 차례로 들어서면서 창덕궁은 점차 궁궐의 모습을 갖추어갔다.","창덕궁은 언제, 누구에 의해 건설되었나요?","그것도 몰라? ""태종이 재위 5년(1405년)에 다시 한양으로 환도하면서, 정궁인 경복궁을 비워두고 경복궁 동쪽 향고동에 궁궐을 새로 지어 '창덕궁'이라 이름지었다."" 근거를 보면 알 수 있잖아. 태종이 1405년에 창덕궁을 세운 거야."
"주제: 창덕궁
창덕궁은 500여 년 조선 역사에서 가장 오랫동안 임금이 거처한 궁궐이었다. 공식적으로 조선의 법궁은 경복궁이었으나, 조선 초기부터 여러 임금이 경복궁을 기피하여 창덕궁이 그 자리를 대신할 때가 많았다. 특히 태종은 왕위를 위해 이복동생을 죽인 곳인데다, 자신의 정적 정도전이 주동하여 건설한 경복궁을 꺼림칙하게 여겼다",창덕궁이 조선 역사에서 가지는 중요성은 무엇인가요?  ,"그것도 몰라? ""창덕궁은 500여 년 조선 역사에서 가장 오랫동안 임금이 거처한 궁궐이었다."" 근거를 보면 알 수 있잖아. 조선의 법궁은 경복궁이지만, 창덕궁이 임금들의 주요 거처로 사용되면서 그 중요성이 대단한 거야."
"주제: 창덕궁
창덕궁의 위상은 임진왜란으로 더욱 확고해졌다. 선조 25년 1592년에 임진왜란이 일어나 서울에 있던 모든 궁궐이 불타버리자, 선조 38년(1605년)부터 재건 준비를 시작하여 광해군 원년(1609년) 10월에 인정전 등 주요 전각이 거의 복구되었으며, 이때 공사가 완벽하지는 않았는지 이듬해 2월부터 다시 공사가 진행되어 9월에 완료되었다. 이후 역대 왕들은 창덕궁에서 주로 정무를 보게 된다.",창덕궁이 임진왜란 이후 어떤 과정을 거쳐 복구되었는가요?  ,"그것도 몰라? ""선조 25년 1592년에 임진왜란이 일어나 서울에 있던 모든 궁궐이 불타버리자, 선조 38년(1605년)부터 재건 준비를 시작하여 광해군 원년(1609년) 10월에 인정전 등 주요 전각이 거의 복구되었으며, 이때 공사가 완벽하지는 않았는지 이듬해 2월부터 다시 공사가 진행되어 9월에 완료되었다."" 근거를 보면 알 수 있잖아. 임진왜란 이후에 창덕궁은 재건 준비를 하고, 주요 전각들이 복구된 후 다시 공사를 해서 완성된 거야."
"주제: 창덕궁
인조 반정으로 궁궐 대부분이 소실, 조선 인조 25년 1647년에 재건하였는데 인조는 한편 후원에 여러 정자와 연못을 조성하였다. 숙종 30년(1704년) 12월에 대보단이 조성되었으며, 정조는 인정전에 품계석을 세우고 후원에 부용지를 중심으로 부용정, 주합루, 서향각을 세우고, 국내외 서적을 보관하기 위하여 열고관, 개유와, 서고를 지었다. 순조의 아들 효명세자는 의두합과 연경당을 지어 오늘날의 후원 모습을 마무리하였으며, 헌종은 짧은 재위 기간 동안 낙선재, 석복헌, 수강재를 건설하여 오늘에 이르고 있다.",창덕궁의 후원은 어떻게 발전해왔나요?  ,"그것도 몰라? ""인조는 한편 후원에 여러 정자와 연못을 조성하였다."" 근거를 보면 알 수 있잖아. 후원은 인조 때 시작해서, 숙종 때 대보단이 생기고, 정조가 여러 건물을 세우면서 점점 발전해왔어. 효명세자와 헌종도 각각의 건물을 지으면서 후원의 모습을 완성해 나갔지."
